369p	1.21565
371p	1.21616
370p	1.21668
372p	1.21719
373p	1.21771
375p	1.21822
376p	1.21874
377p	1.21925
379p	1.21977
381p	1.22028
381p	1.2208
382p	1.22131
384p	1.22183
385p	1.22234
385p	1.22286
385p	1.22337
386p	1.22389
388p	1.2244
391p	1.22492
391p	1.22543
391p	1.22595
391p	1.22646
392p	1.22698
393p	1.22749
394p	1.22801
395p	1.22852
397p	1.22904
399p	1.22955
402p	1.23007
404p	1.23058
405p	1.2311
405p	1.23161
405p	1.23213
406p	1.23264
408p	1.23316
408p	1.23367
410p	1.23419
412p	1.2347
413p	1.23522
416p	1.23573
416p	1.23625
419p	1.23676
421p	1.23728
422p	1.23779
423p	1.23831
423p	1.23882
422p	1.23934
423p	1.23985
426p	1.24037
427p	1.24088
427p	1.2414
428p	1.24191
429p	1.24243
430p	1.24294
431p	1.24346
433p	1.24397
434p	1.24449
435p	1.245
437p	1.24552
438p	1.24603
438p	1.24655
437p	1.24706
439p	1.24758
442p	1.24809
444p	1.24861
443p	1.24912
444p	1.24964
445p	1.25015
446p	1.25067
445p	1.25118
446p	1.2517
447p	1.25221
447p	1.25273
448p	1.25324
448p	1.25376
448p	1.25427
449p	1.25479
452p	1.2553
454p	1.25582
456p	1.25633
456p	1.25685
456p	1.25736
457p	1.25788
457p	1.25839
458p	1.25891
458p	1.25942
458p	1.25994
457p	1.26045
458p	1.26097
460p	1.26148
461p	1.262
462p	1.26251
463p	1.26303
463p	1.26354
463p	1.26406
463p	1.26457
463p	1.26509
463p	1.2656
464p	1.26612
466p	1.26663
466p	1.26715
467p	1.26766
467p	1.26818
469p	1.26869
472p	1.26921
473p	1.26972
474p	1.27024
476p	1.27075
478p	1.27127
479p	1.27178
480p	1.2723
482p	1.27281
485p	1.27333
485p	1.27384
485p	1.27436
486p	1.27487
489p	1.27539
491p	1.2759
493p	1.27642
495p	1.27693
496p	1.27745
497p	1.27796
499p	1.27848
503p	1.27899
504p	1.27951
505p	1.28002
506p	1.28054
508p	1.28105
509p	1.28157
510p	1.28208
512p	1.2826
513p	1.28311
514p	1.28363
516p	1.28414
517p	1.28466
517p	1.28517
518p	1.28569
519p	1.2862
518p	1.28672
518p	1.28723
518p	1.28775
520p	1.28826
521p	1.28878
521p	1.28929
520p	1.28981
521p	1.29032
522p	1.29084
523p	1.29135
524p	1.29187
525p	1.29238
527p	1.2929
528p	1.29341
529p	1.29393
529p	1.29444
530p	1.29496
531p	1.29547
532p	1.29599
532p	1.2965
534p	1.29702
535p	1.29753
537p	1.29805
538p	1.29856
538p	1.29908
538p	1.29959
538p	1.30011
539p	1.30062
541p	1.30114
542p	1.30165
542p	1.30217
543p	1.30268
542p	1.3032
543p	1.30371
543p	1.30423
545p	1.30474
547p	1.30526
547p	1.30577
548p	1.30629
549p	1.3068
551p	1.30732
552p	1.30783
554p	1.30835
555p	1.30886
556p	1.30938
557p	1.30989
558p	1.31041
559p	1.31092
559p	1.31144
562p	1.31195
563p	1.31247
564p	1.31298
565p	1.3135
565p	1.31401
565p	1.31453
567p	1.31504
568p	1.31556
567p	1.31607
567p	1.31659
567p	1.3171
567p	1.31762
567p	1.31813
566p	1.31865
566p	1.31916
565p	1.31968
566p	1.32019
569p	1.32071
571p	1.32122
571p	1.32174
572p	1.32225
573p	1.32277
575p	1.32328
576p	1.3238
575p	1.32431
576p	1.32483
577p	1.32534
578p	1.32586
581p	1.32637
583p	1.32689
583p	1.3274
584p	1.32792
586p	1.32843
588p	1.32895
592p	1.32946
594p	1.32998
594p	1.33049
595p	1.33101
596p	1.33152
597p	1.33204
598p	1.33255
599p	1.33307
601p	1.33358
602p	1.3341
601p	1.33461
603p	1.33513
605p	1.33564
606p	1.33616
607p	1.33667
608p	1.33719
608p	1.3377
609p	1.33822
610p	1.33873
612p	1.33925
613p	1.33976
613p	1.34028
614p	1.34079
615p	1.34131
617p	1.34182
619p	1.34234
621p	1.34285
623p	1.34337
623p	1.34388
623p	1.3444
623p	1.34491
623p	1.34543
624p	1.34594
626p	1.34646
627p	1.34697
629p	1.34749
631p	1.348
630p	1.34852
631p	1.34903
633p	1.34955
635p	1.35006
635p	1.35058
635p	1.35109
636p	1.35161
637p	1.35212
639p	1.35264
641p	1.35315
640p	1.35367
642p	1.35418
643p	1.3547
643p	1.35521
644p	1.35573
646p	1.35624
647p	1.35676
647p	1.35727
649p	1.35779
651p	1.3583
650p	1.35882
651p	1.35933
653p	1.35985
653p	1.36036
656p	1.36088
659p	1.36139
658p	1.36191
659p	1.36242
660p	1.36294
